id;placed_date;status;code;invoice_id;customer
1;2020-09-03T00:56:30;COMPLETED;Georgia calculate withdrawal;88795;one-to-one e-business
2;2020-09-03T05:47:22;CANCELLED;cross-platform Supervisor;47588;Concrete
3;2020-09-03T02:50:07;CANCELLED;Investment Account;79493;revolutionize harness Kyat
4;2020-09-03T00:01:23;COMPLETED;Decentralized Bike;98183;IB Industrial Credit Card Account
5;2020-09-03T07:25:26;CANCELLED;Cotton Egyptian Pound;70149;contingency target
6;2020-09-03T01:51:19;COMPLETED;input Handmade Metal Table;17515;Human
7;2020-09-02T11:24:24;CANCELLED;payment;42230;value-added Cambridgeshire mission-critical
8;2020-09-02T10:29:15;PENDING;connecting hacking Future-proofed;5405;hack green Streamlined
9;2020-09-03T00:02:49;PENDING;back up front-end eco-centric;31482;artificial intelligence card incubate
10;2020-09-02T19:30:30;PENDING;Assistant Papua New Guinea West Virginia;6025;Gloves quantify Rupiah
